quality,symbol
ChordQuality(_______p_),4
ChordQuality(__m____p_),4.7
ChordQuality(__mM___p_),4.7.9
ChordQuality(__m__M_p_),4.7.13
ChordQuality(M________),omit5
ChordQuality(MA_______),(#5)
ChordQuality(MAm______),(#5)7
ChordQuality(MAM______),(#5)M7
ChordQuality(Mp_______),
ChordQuality(Mp_M_____),.9
ChordQuality(Mp__AM___),#11.13
ChordQuality(MpM______),M7
ChordQuality(MpMM_____),M7.9
ChordQuality(MpM__M___),M7.13
ChordQuality(MpMMA____),M7.9.#11
ChordQuality(MpM_A____),M7.#11
ChordQuality(Mpm______),7
ChordQuality(MpmM_____),7.9
ChordQuality(MpmMA____),7.9.#11
ChordQuality(MpmA_____),7.#9
ChordQuality(MpmM_m___),7.9.b13
ChordQuality(MpmM_M___),7.9.13
ChordQuality(Mpmm_____),7.b9
ChordQuality(Mpmm_m___),7.b9.b13
ChordQuality(Mpm_p____),7.11
ChordQuality(Mpm__M___),7.13
ChordQuality(Mpm__m___),7.b13
ChordQuality(Mp__A____),#11
ChordQuality(Mp______M),6
ChordQuality(Mp_M____M),6.9
ChordQuality(Mp_m____M),6.b9
ChordQuality(md_______),°
ChordQuality(mdd______),°7
ChordQuality(mdm______),Ø
ChordQuality(mdmM_____),Ø.9
ChordQuality(mp_______),m
ChordQuality(mpM______),mM7
ChordQuality(mpm______),m7
ChordQuality(mpmM_____),m7.9
ChordQuality(mpm_p____),m7.11
ChordQuality(mpmm_____),m7.b9
ChordQuality(mp_M_____),m.9
ChordQuality(mp_m_____),m.b9
ChordQuality(mp______m),m6
ChordQuality(mp_M____m),m6.9
ChordQuality(mp__p____),m.11
ChordQuality(Mpm_A____),7.#11
